date,CNVIX
2015-02-09,27.5442
2015-02-10,28.0109
2015-02-11,25.4091
2015-02-12,24.1495
2015-02-13,21.2380
2015-02-16,21.4717
2015-02-17,22.0301
2015-02-25,23.2340
2015-02-26,22.1365
2015-02-27,23.9413
2015-03-02,24.8619
2015-03-03,25.1126
2015-03-04,24.3710
2015-03-05,23.5193
2015-03-06,23.2460
2015-03-09,23.8964
2015-03-10,23.0593
2015-03-11,22.6118
2015-03-12,22.0291
2015-03-13,21.9167
2015-03-16,21.6187
2015-03-17,22.0317
2015-03-18,21.8277
2015-03-19,24.2363
2015-03-20,23.4158
2015-03-23,25.5239
2015-03-24,27.7213
2015-03-25,27.3364
2015-03-26,26.2656
2015-03-27,26.5180
2015-03-30,24.5309
2015-03-31,27.1964
2015-04-01,27.2300
2015-04-02,28.7453
2015-04-03,27.9886
2015-04-07,25.9814
2015-04-08,28.7496
2015-04-09,32.0340
2015-04-10,30.1471
2015-04-13,32.5414
2015-04-14,34.8860
2015-04-15,34.8763
2015-04-16,32.4509
2015-04-17,35.7699
2015-04-20,42.0319
2015-04-21,41.1218
2015-04-22,38.4807
2015-04-23,39.8581
2015-04-24,40.6075
2015-04-27,39.2501
2015-04-28,41.2518
2015-04-29,41.1892
2015-04-30,41.0877
2015-05-04,40.7784
2015-05-05,39.8355
2015-05-06,39.3590
2015-05-07,40.4600
2015-05-08,39.6829
2015-05-11,40.0895
2015-05-12,40.2604
2015-05-13,39.4431
2015-05-14,38.6445
2015-05-15,35.3472
2015-05-18,32.6517
2015-05-19,32.5614
2015-05-20,35.1912
2015-05-21,36.7410
2015-05-22,37.7032
2015-05-25,40.0582
2015-05-26,40.7341
2015-05-27,42.3917
2015-05-28,40.6071
2015-05-29,41.1364
2015-06-01,41.3679
2015-06-02,42.1426
2015-06-03,42.4334
2015-06-04,41.0171
2015-06-05,41.0062
2015-06-08,37.5957
2015-06-09,42.2413
2015-06-10,42.6092
2015-06-11,43.9912
2015-06-12,43.9771
2015-06-15,42.2597
2015-06-16,41.2843
2015-06-17,41.2333
2015-06-18,39.7747
2015-06-19,40.4965
2015-06-23,46.2671
2015-06-24,46.7372
2015-06-25,42.4068
2015-06-29,55.9055
2015-06-30,55.2212
2015-07-01,52.1053
2015-07-02,53.5685
2015-07-03,51.0550
2015-07-06,55.7354
2015-07-07,50.5470
2015-07-09,51.0027
2015-07-10,49.7832
2015-07-13,48.8109
2015-07-14,45.3265
2015-07-15,41.5077
2015-07-16,37.9545
2015-07-17,36.0299
2015-07-20,35.5303
2015-07-21,35.6297
2015-07-22,31.9931
2015-07-23,28.4035
2015-07-24,28.6999
2015-07-28,35.4290
2015-07-29,37.7771
2015-07-31,36.3270
2015-08-03,36.7215
2015-08-04,36.6057
2015-08-05,36.6247
2015-08-06,37.9240
2015-08-07,37.2923
2015-08-10,37.2245
2015-08-11,36.8978
2015-08-12,36.5617
2015-08-13,36.2748
2015-08-14,36.2550
2015-08-17,36.4253
2015-08-18,33.5555
2015-08-19,34.0897
2015-08-20,33.6537
2015-08-26,59.4637
2015-08-27,57.2625
2015-08-28,57.5842
2015-08-31,58.6685
2015-09-01,59.1913
2015-09-02,56.4798
2015-09-07,55.1569
2015-09-08,44.4022
2015-09-09,42.1867
2015-09-10,38.3606
2015-09-11,37.3516
2015-09-14,38.8502
2015-09-15,40.9637
2015-09-16,37.4977
2015-09-17,37.6289
2015-09-18,36.8742
2015-09-21,36.4950
2015-09-22,33.7298
2015-09-23,35.2497
2015-09-24,37.0481
2015-09-25,33.3151
2015-09-28,28.6399
2015-09-29,27.7375
2015-09-30,27.4619
2015-10-08,28.2384
2015-10-09,26.6828
2015-10-12,26.0287
2015-10-13,28.5826
2015-10-14,28.2436
2015-10-15,26.1581
2015-10-16,25.8856
2015-10-19,26.8807
2015-10-20,27.5311
2015-10-21,29.0858
2015-10-22,28.3067
2015-10-23,27.3570
2015-10-26,28.9616
2015-10-27,27.1627
2015-10-28,28.0248
2015-10-29,28.1828
2015-10-30,25.4516
2015-11-02,26.4301
2015-11-03,26.5571
2015-11-04,26.3210
2015-11-05,28.8502
2015-11-06,29.2033
2015-11-09,38.5065
2015-11-10,39.7601
2015-11-11,36.4240
2015-11-12,35.3990
2015-11-13,34.5669
2015-11-16,35.2315
2015-11-17,34.8414
2015-11-18,33.8487
2015-11-19,32.8439
2015-11-20,30.9339
2015-11-23,30.1551
2015-11-24,28.8189
2015-11-25,29.3656
2015-11-26,27.1301
2015-11-30,31.5551
2015-12-01,30.8136
2015-12-02,29.2914
2015-12-03,29.6069
2015-12-04,29.3608
2015-12-07,28.3642
2015-12-08,28.1610
2015-12-09,27.8737
2015-12-10,27.6275
2015-12-11,27.5084
2015-12-14,27.6475
2015-12-15,26.9635
2015-12-16,26.8104
2015-12-17,25.8843
2015-12-18,23.3255
2015-12-21,23.5130
2015-12-22,24.7976
2015-12-23,25.0784
2015-12-24,25.9273
2015-12-25,24.4189
2015-12-29,24.1782
2015-12-30,24.3883
2015-12-31,24.9123
2016-01-05,28.7662
2016-01-06,28.0906
2016-01-08,31.6248
2016-01-12,31.9935
2016-01-13,30.8162
2016-01-14,33.8711
2016-01-15,31.1992
2016-01-18,33.3224
2016-01-19,33.4027
2016-01-20,32.7690
2016-01-21,30.7803
2016-01-22,30.9573
2016-01-25,30.8013
2016-01-27,34.3892
2016-01-28,33.2962
2016-01-29,34.5294
2016-02-01,32.1517
2016-02-02,31.1105
2016-02-03,30.7702
2016-02-04,30.6522
2016-02-05,31.3968
